total_syn,req_size,req_type,topo_size,increment_type
6.6424373,8,simple,large,FALSE
6.4105049,8,simple,large,TRUE
11.4479314,8,order,large,FALSE
11.524655,8,order,large,TRUE
15.7472761,16,simple,large,FALSE
15.5527872,16,simple,large,TRUE
43.956221,16,order,large,FALSE
41.1924724,16,order,large,TRUE
1.7392483,2,simple,large,FALSE
1.7202093,2,simple,large,TRUE
2.7985362,2,order,large,FALSE
2.8086809,2,order,large,TRUE
3.7679198,4,simple,large,FALSE
3.7047235,4,simple,large,TRUE
5.5641874,4,order,large,FALSE
5.5827253,4,order,large,TRUE
7.6664537,8,simple,large,FALSE
7.3634982,8,simple,large,TRUE
11.1271605,8,order,large,FALSE
11.0836091,8,order,large,TRUE
14.2090844,16,simple,large,FALSE
14.0642614,16,simple,large,TRUE
36.989173,16,order,large,FALSE
21.7383987,16,order,large,TRUE
0.5300698,2,simple,small,FALSE
0.5179637,2,simple,small,TRUE
0.5539594,2,order,small,FALSE
0.534756,2,order,small,TRUE
1.0196673,4,simple,small,FALSE
1.0012952,4,simple,small,TRUE
1.1295357,4,order,small,FALSE
1.0575597,4,order,small,TRUE
2.0349725,8,simple,small,FALSE
1.9984508,8,simple,small,TRUE
2.2196212,8,order,small,FALSE
2.1835525,8,order,small,TRUE
4.0224549,16,simple,small,FALSE
3.9472345,16,simple,small,TRUE
4.4188532,16,order,small,FALSE
4.4065716,16,order,small,TRUE
0.5088292,2,simple,small,FALSE
0.4828158,2,simple,small,TRUE
0.5578488,2,order,small,FALSE
0.5617715,2,order,small,TRUE
1.0328404,4,simple,small,FALSE
1.0096576,4,simple,small,TRUE
1.1771979,4,order,small,FALSE
1.4977587,4,order,small,TRUE
2.008425,8,simple,small,FALSE
1.9640775,8,simple,small,TRUE
2.7645024,8,order,small,FALSE
2.286493,8,order,small,TRUE
4.0679214,16,simple,small,FALSE
3.9032221,16,simple,small,TRUE
4.5688205,16,order,small,FALSE
4.4852451,16,order,small,TRUE
0.4456378,2,simple,small,FALSE
0.4495034,2,simple,small,TRUE
0.4908778,2,order,small,FALSE
0.4843451,2,order,small,TRUE
0.9659182,4,simple,small,FALSE
0.9033083,4,simple,small,TRUE
1.0011418,4,order,small,FALSE
0.9861753,4,order,small,TRUE
1.8467457,8,simple,small,FALSE
1.8606251,8,simple,small,TRUE
1.969084,8,order,small,FALSE
2.2823441,8,order,small,TRUE
3.778138,16,simple,small,FALSE
3.6932413,16,simple,small,TRUE
4.4348775,16,order,small,FALSE
3.7892773,16,order,small,TRUE
0.4350952,2,simple,small,FALSE
0.4222339,2,simple,small,TRUE
0.4725618,2,order,small,FALSE
0.4643448,2,order,small,TRUE
0.8990262,4,simple,small,FALSE
0.8944543,4,simple,small,TRUE
0.9480111,4,order,small,FALSE
0.9576704,4,order,small,TRUE
1.8364686,8,simple,small,FALSE
1.8335498,8,simple,small,TRUE
1.8884171,8,order,small,FALSE
1.8471098,8,order,small,TRUE
3.7800846,16,simple,small,FALSE
3.6882902,16,simple,small,TRUE
3.6714114,16,order,small,FALSE
3.6107433,16,order,small,TRUE
